,Subject_all,MeanMVC_all,StrideTime_all,WalkingAmp_all,NumberofBursts_all,Autocov IQR,Dom Freq Val,Dom Freq Ratio,Spectral Entropy,Mean Cross Rate,RMS,Signal Entropy,Signal Kurtosis,Signal Mean,Signal Mean Absolute,Signal Range
0,1,0.000304367739011502,1.10851454734802,2.3316060716651198e-05,4,0.16465206431629387,0.003220784461662381,0.8362333616327864,0.5224613934765991,0.03697183098591549,1.5678379151223426e-05,-9.984884120958386,6.070187237237141,2.2030274499354793e-05,2.2030274499354793e-05,0.00010579562704556257
1,1,0.000304367739011502,1.11990928649902,3.40545743615721e-05,3,0.11808970809869834,0.0018819701356483098,0.601578464828283,0.7273757876504192,0.027923211169284468,4.152579944091558e-05,-9.50454578862293,8.553450031143107,3.2515800413523665e-05,3.2515800413523665e-05,0.0002409754946289555
2,1,0.000304367739011502,1.07750797271729,3.28362118775529e-05,2,0.1691308556095876,0.003019879961679133,0.8402330305333444,0.5125396135483191,0.041666666666666664,2.278701319885751e-05,-9.563889743012751,1.3191212198050888,3.096702695524426e-05,3.096702695524426e-05,0.0001066786877535373
3,1,0.000304367739011502,1.05524921417236,2.32876454102451e-05,4,0.07743261234608806,0.0026913460422856306,0.6934400280022707,0.581150175734267,0.06481481481481481,1.9610369138567366e-05,-9.994156379365414,12.16525792212879,2.2154936635871017e-05,2.2154936635871017e-05,0.00014266216088675663
4,1,0.000304367739011502,1.08089971542358,2.8068344699108398e-05,3,0.16855926923018177,0.003271052398645335,0.8496057977184379,0.5095303496836816,0.028933092224231464,1.7384264206280123e-05,-9.805292499259993,2.781357270149095,2.654308118435813e-05,2.654308118435813e-05,0.00010411901118767824
5,1,0.000304367739011502,1.08611822128296,2.76657500492104e-05,5,0.27591028819698804,0.003095694587956231,0.8349952248682107,0.5000658514784359,0.04316546762589928,1.935439986062098e-05,-9.777942453895545,1.3526667661961156,2.6820135692089486e-05,2.6820135692089486e-05,9.642020099020633e-05
6,1,0.000304367739011502,1.12516975402832,3.62639775728878e-05,2,0.15676445820724047,0.002687793861095603,0.7360126780563689,0.6261367338593271,0.05545927209705372,3.190328491530108e-05,-9.367483628117354,4.069030228299435,3.53012983232876e-05,3.53012983232876e-05,0.00017295801345590042
7,1,0.000304367739011502,1.06301283836365,2.9304897172680395e-05,1,0.18498088896970713,0.0028519467294650567,0.8045181062150334,0.546329014926654,0.03308823529411765,2.32196954952409e-05,-9.6892464491985,3.1558447517735866,2.984013082179232e-05,2.984013082179232e-05,0.00012613503908673825
8,1,0.000304367739011502,1.02430486679077,2.80091322081411e-05,3,0.14033433578572163,0.002916312796146716,0.8125307004894137,0.5367839455286825,0.03244274809160305,1.9480761740219018e-05,-9.817401846660207,1.966879778188681,2.6331782331088304e-05,2.6331782331088304e-05,0.00010603761499038012
9,1,0.000304367739011502,1.1298017501831101,3.24325577901717e-05,3,0.16387965644668936,0.0025301580037370972,0.7863492302145092,0.6333102585204624,0.02936096718480138,3.233140802549622e-05,-9.552323319575637,7.125900500238824,3.2380149616870866e-05,3.2380149616870866e-05,0.0002047313333631265
